ph,dureza_mg_l,solidos_disueltos_ppm,cloraminas_ppm,sulfatos_mg_l,conductividad_us_cm,carbono_organico_ppm,trihalometanos_ug_l,turbidez_ntu,potable
5.54,256.2,19701,4.13,347.4,443.8,13.67,79.7,5.26,no
5.83,195.4,12929,6.59,339.5,262.6,15.46,34.7,3.27,si
9.18,165.8,14936,6.74,317.8,308.1,9.48,88.1,3.65,no
3.85,242.1,14632,9.54,316.3,302.9,13.46,77.6,3.79,no
7.9,242.8,21936,5.73,368.5,393.4,15.02,85.1,2.52,no
5.88,154.6,19938,7.02,298.9,363.1,8.47,84.6,3.14,no
6.45,187.6,15448,6.89,318.5,287.3,14.48,71.9,5.12,no
7.81,179.8,34148,8.08,409,607.7,14.22,69.6,4.5,si
7.08,237.4,20711,5.5,402,370.8,17.8,46.9,3.87,no
7.86,221.3,31386,8.85,287.9,607.5,16.08,73.7,3.73,si
7.9,198,29248,7.06,343.1,534.5,6.83,53.2,3.03,si
6.34,223.2,17262,9.93,363.2,308,12.76,49.5,2.96,si
7.39,206.1,22027,11.08,371.3,417.5,16.29,105.4,5.15,no
7.39,175,28280,6.55,NA,547.3,14.87,65.8,4,si
7.78,175.9,17650,8.8,369,345.2,15.46,96.3,3.57,no
7.16,175.5,11754,4.05,332.3,221,12.23,122.6,4.13,no
6.47,181.8,23029,7.83,273.2,435.9,10.67,76.4,3.93,si
6.65,189.1,24007,6.1,334.2,467.7,12.91,76.7,3.78,si
7.8,149.1,25364,7.47,265,517,10.21,45.3,3.96,no
8.44,131.8,28926,9.48,374.7,536.6,12.15,60.6,4.17,si
9.82,169.5,27734,8.08,333.3,552.5,13.09,66.2,4.11,no
7.37,179.5,26143,8.39,288,519.3,15.39,64.6,5.11,si
7.98,174.1,31535,9.61,289,608.4,16.3,75.7,4.56,si
6.65,262.4,33103,5.45,389.4,655.9,13.59,80.8,5.19,no
4.16,215.5,7573,7.66,356,170.5,16.02,65.9,5.35,no
6.1,172,27796,8.1,355.2,487.2,15.97,58.3,2.45,no
5.97,199.3,12772,10.38,259.3,220.6,19.72,63.5,5.42,no
6.52,156.5,11830,9.73,296.7,200.6,15.56,49.6,4.82,si
7.95,196.5,20041,7.76,312.8,424.3,10.97,96,4.37,no
4.23,202.7,4542,6.38,281.3,96.8,14.69,54.2,3.8,no
8.26,186.8,28387,6.67,332.2,553.7,10.51,69.8,4.35,si
7.35,150.3,22048,5.96,284,404,10.96,71.2,4.77,no
5.39,202.1,36258,6.25,NA,677.1,13.78,49.8,4.44,no
4.81,195.1,20590,9.96,328.2,399.6,12.18,75.5,5,no
6.81,195.1,6566,12.1,399.8,85.1,13.45,65.5,4.6,si
NA,164.7,30356,8.41,339.2,586.3,14.21,69.5,5.39,no
9.15,209.1,28266,4.56,322.8,507.8,14.1,84.3,3.66,no
8.56,156.3,6267,6.68,338.4,178.9,16.71,49.7,4.9,no
6.42,223.9,21555,6.45,367.3,393.9,12.53,35.7,4.53,no
5.47,178.4,18470,9.03,346.5,331.5,11.49,71.9,3.19,no
4.9,204.8,11028,8.88,384.5,256.8,11.76,86.6,4.74,no
8.03,225.9,26367,6.29,NA,477.6,20.17,106.6,3.67,no
8.09,227,18290,5.32,319.8,369.8,11.09,54.3,2.8,no
7.13,169.4,30413,4.59,292.9,592,19.25,50.8,3.83,no
7.35,165.8,20956,6.67,353,405,15.72,74.4,3.91,si
6.48,236.6,24214,6.4,377.2,470.7,14.16,68.6,3.76,si
7.02,170.5,23731,9.38,314.4,440.1,15.44,78.1,2.71,no
7.17,215.7,29548,8.51,334.6,593.8,13.01,51.8,4.37,si
6.9,257.1,25096,6.16,328.1,476.1,13.45,62.9,4.84,no
4.6,226.9,28669,3.42,277.6,561.3,14.49,65.8,2.93,no
8.68,191.9,13636,5.58,319.4,262.5,12.87,73,3.64,no
7.78,240.4,21735,8.31,342,420.6,17.19,52.6,3.36,si
