id_solicitud,edad,ingreso_mensual_mxn,monto_solicitado_mxn,plazo_meses,pago_mensual_estimado_mxn,pct_deuda_ingreso,score_historial,num_creditos_activos,antiguedad_empleo_anios,aprobado
CR0877,26,7278,25000,36,694,0.095,566,0,3.6,no
CR0878,49,14253,50000,6,8333,0.585,642,1,8.2,si
CR0879,54,15716,107000,6,17833,1.135,662,2,4.2,no
CR0880,32,19940,56000,6,9333,0.468,574,4,6.6,si
CR0881,51,22756,140000,36,3889,0.171,602,0,6.3,si
CR0882,40,47012,346000,12,28833,0.613,568,6,3.3,no
CR0883,32,32238,225000,6,37500,1.163,850,1,6.1,no
CR0884,22,23928,169000,12,14083,0.589,594,1,3.1,no
CR0885,34,15381,26000,12,2167,0.141,714,0,2.2,si
CR0886,48,25103,143000,24,5958,0.237,564,1,0.3,no
CR0887,49,32695,261000,36,7250,0.222,712,0,4,si
CR0888,48,63218,501000,12,41750,0.66,660,3,2.2,no
CR0889,65,19995,41000,12,3417,0.171,667,2,5.2,si
CR0890,22,32913,242000,12,20167,0.613,614,2,4.9,no
CR0891,38,18966,145000,12,12083,0.637,594,3,5.4,no
CR0892,74,15928,35000,12,2917,0.183,679,0,4,no
CR0893,25,26941,122000,36,3389,0.126,649,2,2.1,si
CR0894,51,34193,72000,36,2000,0.058,739,4,9.4,si
CR0895,74,22228,93000,48,1938,0.087,638,0,1.3,si
CR0896,54,25446,117000,24,4875,0.192,641,3,3,si
CR0897,46,22176,34000,12,2833,0.128,518,4,5,si
CR0898,71,18570,94000,60,1567,0.084,739,1,6.6,si
CR0899,41,29404,137000,12,11417,0.388,636,2,8.5,si
CR0900,64,36639,95000,24,3958,0.108,586,1,6.7,si
CR0901,52,28466,127000,36,3528,0.124,627,1,7.2,si
CR0902,48,12890,45000,24,1875,0.145,688,1,5.5,no
CR0903,32,28984,219000,48,4562,0.157,550,0,0.7,no
CR0904,19,32488,197000,36,5472,0.168,579,1,2,no
CR0905,25,27832,65000,24,2708,0.097,724,1,2.9,si
CR0906,38,29952,101000,12,8417,0.281,612,3,1.8,no
CR0907,67,63890,414000,36,11500,0.18,663,2,28,si
CR0908,66,27269,78000,36,2167,0.079,593,4,6.5,si
CR0909,29,22871,134000,36,3722,0.163,640,0,5.7,si
CR0910,39,14271,77000,12,6417,0.45,753,1,1.2,no
CR0911,26,23128,94000,48,1958,0.085,649,3,5.1,si
CR0912,40,18594,117000,12,9750,0.524,588,1,3.4,no
CR0913,47,13877,49000,36,1361,0.098,797,2,1.7,si
CR0914,64,11166,61000,12,5083,0.455,610,2,8.3,no
CR0915,62,36819,219000,12,18250,0.496,779,2,3.9,no
CR0916,32,26625,131000,60,2183,0.082,603,4,2.3,si
CR0917,45,18892,81000,36,2250,0.119,720,1,0.4,no
CR0918,39,44470,135000,6,22500,0.506,499,4,8,no
CR0919,72,18061,41000,36,1139,0.063,643,3,4.1,no
CR0920,38,12394,29000,48,604,0.049,732,3,3.6,si
CR0921,26,7764,35000,24,1458,0.188,511,1,9,no
CR0922,26,46193,303000,12,25250,0.547,633,3,5.3,no
CR0923,50,14830,67000,6,11167,0.753,439,0,6.2,no
CR0924,69,17354,43000,60,717,0.041,645,1,2.3,si
CR0925,32,NA,73000,12,6083,0.246,585,1,9.8,no
CR0926,23,24314,52000,12,4333,0.178,621,2,4.5,si
CR0927,67,32660,227000,60,3783,0.116,651,1,5.9,si
CR0928,30,31288,163000,36,4528,0.145,653,1,5.9,si
CR0929,33,NA,194000,6,32333,1.179,709,2,7.3,no
CR0930,19,11863,85000,48,1771,0.149,532,1,2,no
CR0931,33,31153,54000,24,2250,0.072,677,1,7.9,si
CR0932,30,5471,18000,24,750,0.137,595,1,1.4,si
CR0933,57,46953,290000,60,4833,0.103,540,1,13.2,si
CR0934,47,13528,78000,12,6500,0.48,545,2,5.7,no
CR0935,62,16777,36000,12,3000,0.179,640,2,3.7,si
CR0936,61,30108,89000,24,3708,0.123,783,1,9.3,no
CR0937,20,30394,137000,36,3806,0.125,617,2,3,si
CR0938,62,NA,159000,12,13250,0.413,533,1,9.4,no
CR0939,20,NA,35000,12,2917,0.183,754,2,3,si
CR0940,21,8763,50000,48,1042,0.119,604,0,4,no
CR0941,68,30440,122000,48,2542,0.084,584,2,1.7,no
CR0942,26,9694,73000,6,12167,1.255,701,0,3.4,no
CR0943,72,20510,124000,6,20667,1.008,807,3,1.8,no
CR0944,62,NA,45000,12,3750,0.277,799,1,3.5,no
CR0945,74,18479,137000,6,22833,1.236,694,1,6.2,no
CR0946,39,20565,159000,6,26500,1.289,327,2,2.1,no
CR0947,42,69287,410000,24,17083,0.247,600,1,14.7,si
CR0948,61,NA,74000,24,3083,0.156,666,1,1.1,si
CR0949,64,23210,79000,12,6583,0.284,660,2,2.5,si
CR0950,27,30548,65000,36,1806,0.059,588,0,1.8,no
